lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.164308, 128.031350, 0, 16, 21, 0, 4, 17, 0
35.164341, 128.031382, 0, 14, 15, 0, 2, 13, 0
35.164374, 128.031414, 0, 12, 15, 0, 2, 7, 0
35.164403, 128.031440, 0, 16, 9, 0, 5, 9, 0
35.164431, 128.031465, 0, 11, 9, 0, 1, 10, 0
35.164460, 128.031492, 0, 15, 12, 0, 1, 10, 0
35.164490, 128.031518, 0, 20, 15, 1, 1, 12, 0
35.164523, 128.031541, 1, 22, 16, 0, 1, 10, 0
35.164558, 128.031561, 1, 30, 16, 0, 2, 11, 0
35.164595, 128.031580, 2, 27, 14, 0, 3, 18, 0
35.164641, 128.031604, 2, 20, 16, 0, 2, 9, 0
35.164690, 128.031632, 1, 16, 9, 0, 0, 11, 0
35.164731, 128.031657, 0, 22, 15, 0, 2, 9, 0
35.164769, 128.031681, 0, 30, 13, 0, 0, 17, 0
35.164809, 128.031707, 0, 21, 14, 0, 1, 18, 0
35.164846, 128.031732, 0, 13, 21, 0, 2, 16, 0
35.164884, 128.031759, 0, 6, 21, 0, 2, 8, 0
35.164923, 128.031787, 0, 16, 10, 0, 0, 9, 0
35.164963, 128.031816, 0, 10, 12, 0, 2, 14, 0
35.165003, 128.031845, 2, 18, 12, 0, 3, 18, 0
35.165039, 128.031872, 3, 23, 14, 0, 2, 10, 0
35.165079, 128.031902, 1, 22, 10, 0, 2, 10, 1
35.165120, 128.031932, 0, 22, 10, 0, 1, 13, 0
35.165161, 128.031962, 0, 21, 12, 0, 1, 16, 0
35.165204, 128.031992, 1, 21, 12, 0, 2, 16, 0
35.165247, 128.032026, 0, 20, 10, 1, 1, 14, 0
35.165289, 128.032062, 0, 30, 17, 0, 1, 12, 0
35.165333, 128.032099, 0, 20, 8, 0, 6, 14, 0
35.165378, 128.032137, 0, 27, 7, 0, 1, 16, 0
35.165417, 128.032178, 0, 11, 9, 0, 1, 5, 0
35.165497, 128.032269, 0, 13, 6, 0, 2, 2, 0
35.165554, 128.032323, 0, 11, 3, 0, 0, 9, 0
35.165590, 128.032349, 0, 10, 7, 0, 1, 7, 0
35.165626, 128.032377, 0, 16, 4, 0, 0, 8, 0
35.165657, 128.032402, 0, 15, 3, 0, 0, 5, 0
35.165684, 128.032432, 1, 13, 6, 0, 0, 4, 0
35.165737, 128.032461, 0, 7, 7, 0, 0, 4, 0
35.165784, 128.032482, 0, 6, 5, 0, 0, 2, 0
35.165818, 128.032515, 0, 6, 5, 0, 0, 7, 0
35.165860, 128.032548, 0, 4, 6, 0, 2, 8, 0
35.165913, 128.032565, 0, 5, 5, 0, 2, 6, 0
35.165947, 128.032596, 0, 7, 5, 0, 1, 1, 0
35.165978, 128.032632, 1, 8, 2, 0, 1, 2, 0
35.166007, 128.032666, 1, 6, 4, 0, 1, 1, 0
35.166035, 128.032697, 0, 7, 4, 1, 0, 1, 0
35.166065, 128.032731, 0, 5, 4, 1, 1, 2, 0
35.166093, 128.032759, 0, 6, 3, 0, 4, 1, 0
35.166120, 128.032787, 0, 7, 4, 0, 4, 1, 0
35.166148, 128.032817, 0, 7, 4, 1, 2, 5, 0
35.166173, 128.032845, 0, 6, 3, 0, 0, 5, 0
35.166198, 128.032873, 0, 8, 3, 0, 0, 4, 0
35.166224, 128.032903, 0, 5, 2, 0, 0, 6, 0
35.166248, 128.032930, 0, 7, 2, 0, 0, 5, 0
